epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7933,0.12147,219.023,0.01548,0,0,0,0,1.30185,64.0546,0.16143,0.000407609,0.000407609,0.000407609
2,67.7996,1.09431,159.729,0.15117,0,0,0,0,1.45662,42.6367,0.16075,0.000807955,0.000807955,0.000807955
3,91.3445,1.31262,121.756,0.19699,0,0,0,0,1.50882,inf,0.18209,0.0011918,0.0011918,0.0011918
4,113.602,2.32781,79.5763,0.34065,0,0,0,0,nan,nan,nan,0.00117575,0.00117575,0.00117575
5,133.493,2.75439,44.7512,0.41382,0,0,0,0,4.59611,5.20293,0.61067,0.001151,0.001151,0.001151
6,153.973,3.72917,24.4539,0.55483,0,0,0,0,0.55622,0.55827,0.07145,0.00112625,0.00112625,0.00112625
7,176.207,4.21,15.1543,0.62917,0,0,0,0,4.04359,5.80115,0.53701,0.0011015,0.0011015,0.0011015
8,195.802,3.74585,11.8137,0.55836,0,0,0,0,4.44795,5.39338,0.59851,0.00107675,0.00107675,0.00107675
9,215.942,3.78869,7.56388,0.57813,0.0102,0.00152,0.00517,0.00155,4.50738,4.4413,0.59512,0.001052,0.001052,0.001052
10,237.513,3.65336,6.82201,0.55297,0.00029,0.00152,0.00014,1e-05,4.61167,inf,0.58498,0.00102725,0.00102725,0.00102725
11,258.605,3.85956,5.73318,0.61156,0.0012,0.00152,0.00061,6e-05,4.70835,2.88766,0.60466,0.0010025,0.0010025,0.0010025
12,278.967,3.88453,5.20792,0.57783,0.00232,0.00227,0.00117,0.00015,4.47181,2.77877,0.59633,0.00097775,0.00097775,0.00097775
13,299.592,3.817,4.42507,0.59346,0.02016,0.01515,0.01129,0.00211,4.29288,2.82665,0.59151,0.000953,0.000953,0.000953
14,320.486,4.18861,4.37565,0.6216,0.03834,0.01894,0.02212,0.00507,4.02638,3.04072,0.58719,0.00092825,0.00092825,0.00092825
15,342.103,3.7819,3.96667,0.59807,0.00409,0.00455,0.00215,0.00022,4.75593,2.74777,0.59561,0.0009035,0.0009035,0.0009035
16,364.244,3.79323,3.88137,0.58032,0.01348,0.01742,0.00969,0.0029,3.97803,2.65162,0.59079,0.00087875,0.00087875,0.00087875
17,385.759,3.70759,3.4492,0.55734,0.01694,0.01742,0.01178,0.00271,4.38603,2.41532,0.59523,0.000854,0.000854,0.000854
18,406.531,4.20302,3.50231,0.62443,0.01129,0.01818,0.00761,0.00204,4.08516,2.39682,0.58992,0.00082925,0.00082925,0.00082925
19,426.976,3.9057,3.10526,0.60717,0.01537,0.01364,0.01013,0.00211,4.30122,2.68668,0.59313,0.0008045,0.0008045,0.0008045
20,447.77,3.58207,3.06602,0.55763,0.02769,0.01818,0.01723,0.00497,4.08763,2.61232,0.59154,0.00077975,0.00077975,0.00077975
21,468.191,4.07699,3.05256,0.63903,0.01412,0.01061,0.00884,0.00198,4.46236,2.67523,0.59655,0.000755,0.000755,0.000755
22,488.263,3.80632,2.98808,0.57933,0.03306,0.01667,0.01898,0.00453,4.11519,3.02636,0.58971,0.00073025,0.00073025,0.00073025
23,509.464,3.94224,2.9238,0.60365,0.02277,0.01894,0.01488,0.00447,4.10522,2.43442,0.5894,0.0007055,0.0007055,0.0007055
24,529.672,4.03819,2.81753,0.62486,0.01533,0.01212,0.0102,0.00348,4.18533,2.77155,0.5898,0.00068075,0.00068075,0.00068075
25,550.14,3.70427,2.65908,0.62319,0.02329,0.01515,0.01339,0.00266,4.307,2.58661,0.59229,0.000656,0.000656,0.000656
26,570.966,3.81005,2.70712,0.60769,0.0127,0.00606,0.00662,0.00083,4.52614,2.6926,0.59433,0.00063125,0.00063125,0.00063125
27,591.495,3.96884,2.6855,0.60884,0.02339,0.01439,0.01347,0.00294,4.22309,2.53572,0.59072,0.0006065,0.0006065,0.0006065
28,611.901,3.7938,2.65748,0.6035,0.01968,0.01591,0.01223,0.0041,4.00473,2.53254,0.58456,0.00058175,0.00058175,0.00058175
29,632.635,3.63597,2.6112,0.5799,0.02182,0.01515,0.01193,0.0029,4.19909,2.65543,0.59051,0.000557,0.000557,0.000557
30,653.242,3.522,2.69619,0.58192,0.02108,0.02348,0.01372,0.00401,3.84291,2.25972,0.58413,0.00053225,0.00053225,0.00053225
31,673.822,3.81692,2.49895,0.6241,0.0231,0.01894,0.0144,0.00316,4.11658,2.59623,0.58619,0.0005075,0.0005075,0.0005075
32,694.429,3.62389,2.48222,0.57651,0.034,0.01894,0.01997,0.00508,4.10219,2.8402,0.58399,0.00048275,0.00048275,0.00048275
33,714.347,3.68872,2.36959,0.61097,0.04319,0.01818,0.02334,0.00821,3.81403,2.95914,0.58263,0.000458,0.000458,0.000458
34,735.075,3.39337,2.20909,0.58535,0.02766,0.02424,0.01663,0.00496,3.65564,2.25138,0.57975,0.00043325,0.00043325,0.00043325
35,755.197,3.686,2.54427,0.59553,0.0374,0.02045,0.02153,0.00483,4.0347,2.76798,0.58289,0.0004085,0.0004085,0.0004085
36,775.431,3.47713,2.41471,0.62529,0.04239,0.02879,0.02609,0.008,3.76559,2.46967,0.57711,0.00038375,0.00038375,0.00038375
37,795.789,3.35655,2.32105,0.6108,0.05155,0.02576,0.03004,0.00834,3.90024,2.67784,0.57612,0.000359,0.000359,0.000359
38,816.665,3.45774,2.28615,0.60414,0.02978,0.02121,0.01728,0.00491,3.81545,2.58004,0.57607,0.00033425,0.00033425,0.00033425
39,836.944,3.35796,2.25793,0.60677,0.04047,0.02727,0.02293,0.00678,3.76413,2.53932,0.57478,0.0003095,0.0003095,0.0003095
40,857.508,3.13708,2.19465,0.61028,0.05269,0.03485,0.03058,0.0087,3.50465,2.28375,0.56824,0.00028475,0.00028475,0.00028475
41,921.319,3.22228,2.24423,0.61559,0.05632,0.03788,0.03128,0.00851,3.50948,2.47619,0.56941,0.00026,0.00026,0.00026
42,943.726,3.14669,2.21806,0.61806,0.06284,0.03788,0.03553,0.0102,3.45735,2.59222,0.56976,0.00023525,0.00023525,0.00023525
43,964.887,3.07883,2.21515,0.60475,0.06926,0.03939,0.03925,0.01181,3.37751,2.66724,0.56889,0.0002105,0.0002105,0.0002105
44,985.09,2.99457,2.10846,0.62745,0.05722,0.03788,0.03252,0.00948,3.52543,2.49204,0.5713,0.00018575,0.00018575,0.00018575
45,1005.16,2.89873,2.11648,0.63393,0.04667,0.03864,0.02725,0.0076,3.46418,2.30986,0.56903,0.000161,0.000161,0.000161
46,1025.27,2.94743,2.04409,0.60654,0.06901,0.03409,0.0385,0.01263,3.35215,2.66345,0.56844,0.00013625,0.00013625,0.00013625
47,1045.4,2.94929,2.17409,0.60956,0.05706,0.04318,0.03334,0.00918,3.42698,2.27945,0.56738,0.0001115,0.0001115,0.0001115
48,1065.54,2.92301,2.11595,0.62529,0.06201,0.04167,0.03546,0.00971,3.41817,2.42487,0.56712,8.675e-05,8.675e-05,8.675e-05
49,1085.83,3.00312,2.21037,0.61858,0.05701,0.0447,0.03318,0.00961,3.32114,2.24521,0.56469,6.2e-05,6.2e-05,6.2e-05
50,1105.95,2.74511,2.09503,0.60201,0.0603,0.04167,0.03439,0.01104,3.3115,2.35853,0.56544,3.725e-05,3.725e-05,3.725e-05
