epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3561,1.10389,4.0124,0.94411,0.05323,0.59606,0.2063,0.13181,1.02516,3.95092,0.85277,0.000191739,0.000191739,0.000191739
2,86.8769,0.81944,2.05188,0.84605,0.40568,0.64298,0.51397,0.40417,0.67435,2.75041,0.81605,0.000380062,0.000380062,0.000380062
3,120.527,0.69238,1.21214,0.83179,0.55392,0.71765,0.66288,0.50928,0.82694,1.30631,0.84108,0.000560623,0.000560623,0.000560623
4,178.138,0.62242,0.95778,0.822,0.78356,0.84594,0.85836,0.6756,0.80981,0.72901,0.84546,0.000553073,0.000553073,0.000553073
5,246.455,0.56947,0.79767,0.81369,0.90467,0.88818,0.9486,0.80088,0.62223,0.58152,0.82306,0.00054143,0.00054143,0.00054143
6,287.255,0.53293,0.69408,0.81227,0.94165,0.92422,0.97128,0.84289,0.52983,0.51434,0.80987,0.000529788,0.000529788,0.000529788
7,359.102,0.5362,0.6405,0.81051,0.92469,0.91152,0.96034,0.81086,0.60999,0.51134,0.81861,0.000518146,0.000518146,0.000518146
8,399.196,0.51199,0.59179,0.80752,0.96993,0.96202,0.98828,0.84677,0.59123,0.45449,0.81416,0.000506503,0.000506503,0.000506503
9,447.855,0.50384,0.56122,0.8068,0.98432,0.96667,0.99154,0.82388,0.68124,0.44846,0.82484,0.000494861,0.000494861,0.000494861
10,503.565,0.48318,0.547,0.80398,0.96201,0.95877,0.9876,0.83638,0.61914,0.45783,0.81837,0.000483218,0.000483218,0.000483218
11,541.603,0.48193,0.52743,0.80395,0.98077,0.96897,0.99082,0.85054,0.60284,0.41904,0.81525,0.000471576,0.000471576,0.000471576
12,575.482,0.4731,0.52945,0.802,0.98555,0.97915,0.99309,0.83731,0.64325,0.42057,0.82078,0.000459934,0.000459934,0.000459934
13,629.33,0.46271,0.48765,0.80086,0.98714,0.98073,0.99332,0.85136,0.60622,0.41235,0.8165,0.000448291,0.000448291,0.000448291
14,668.192,0.44298,0.46524,0.79953,0.99056,0.97391,0.99314,0.85042,0.60121,0.39489,0.81712,0.000436649,0.000436649,0.000436649
15,717.003,0.4424,0.44967,0.79925,0.98101,0.97617,0.99253,0.82243,0.6819,0.41836,0.82871,0.000425006,0.000425006,0.000425006
16,764.909,0.44261,0.44383,0.8003,0.98518,0.98743,0.99426,0.80573,0.76812,0.4218,0.84095,0.000413364,0.000413364,0.000413364
17,797.014,0.43219,0.43453,0.79807,0.99104,0.98677,0.99446,0.86903,0.55756,0.36304,0.80838,0.000401722,0.000401722,0.000401722
18,834.002,0.43097,0.4274,0.79714,0.99301,0.9837,0.99438,0.81284,0.75284,0.39597,0.83709,0.000390079,0.000390079,0.000390079
19,892.109,0.42876,0.42081,0.79616,0.98921,0.98909,0.99421,0.84687,0.63023,0.36819,0.81943,0.000378437,0.000378437,0.000378437
20,933.422,0.41815,0.41211,0.79693,0.98869,0.98574,0.99381,0.85867,0.60304,0.35777,0.81608,0.000366794,0.000366794,0.000366794
21,960.589,0.4256,0.40686,0.79689,0.99375,0.98924,0.99453,0.83386,0.71041,0.38473,0.83075,0.000355152,0.000355152,0.000355152
22,1005.82,0.41693,0.40083,0.7963,0.99261,0.98925,0.99451,0.85951,0.59892,0.35326,0.81288,0.00034351,0.00034351,0.00034351
23,1063.67,0.41556,0.39441,0.79482,0.9929,0.98789,0.99436,0.84946,0.63187,0.34922,0.81731,0.000331867,0.000331867,0.000331867
24,1112.55,0.40932,0.38649,0.79288,0.98742,0.99082,0.9943,0.84887,0.60702,0.34471,0.81475,0.000320225,0.000320225,0.000320225
25,1144.76,0.41309,0.3814,0.79429,0.98918,0.99383,0.99473,0.86136,0.58567,0.33605,0.81312,0.000308582,0.000308582,0.000308582
26,1173.56,0.41085,0.3796,0.79389,0.99129,0.9892,0.99459,0.84937,0.6235,0.34641,0.81972,0.00029694,0.00029694,0.00029694
27,1215.05,0.40966,0.37851,0.79431,0.98992,0.99113,0.99468,0.83542,0.66634,0.35129,0.82328,0.000285298,0.000285298,0.000285298
28,1263.04,0.40517,0.36826,0.7933,0.99058,0.99127,0.99454,0.84467,0.64349,0.34686,0.82187,0.000273655,0.000273655,0.000273655
29,1288.01,0.40604,0.38175,0.79493,0.99185,0.9889,0.99394,0.86441,0.5761,0.32854,0.81164,0.000262013,0.000262013,0.000262013
30,1341.72,0.394,0.36056,0.79256,0.99066,0.99098,0.99467,0.85132,0.62798,0.34033,0.81743,0.00025037,0.00025037,0.00025037
31,1389.37,0.39777,0.35806,0.79213,0.9922,0.98793,0.99381,0.85411,0.60649,0.3299,0.81591,0.000238728,0.000238728,0.000238728
32,1445.83,0.38708,0.35251,0.79052,0.98876,0.98603,0.99403,0.86519,0.57015,0.32354,0.80982,0.000227086,0.000227086,0.000227086
33,1482.72,0.39084,0.35219,0.79151,0.98878,0.99003,0.99451,0.85522,0.60024,0.32604,0.81404,0.000215443,0.000215443,0.000215443
